,hectares,ons_label,oa_2001,ward_2001,local_authority_2001,is_inner_london,walkability_score_m1,walkability_score_m2,walkability_score_m3,oa_occupied_household_space_count,residential_density,residential_density_decile,partial_walkability_score_m1,partial_walkability_score_m2,partial_walkability_score_m3,pop_weighted_centroid_lon,pop_weighted_centroid_lat,tree_count,trees_per_hectare,trees_per_hectare_decile,cluster
484,4.7009046875,00ATFY0002,00ATFY0002,Bedfont,Hounslow,False,7,7,7,137,29.14332647,4,3,3,3,-0.4287999589093665,51.455939649449,16.0,3.403600171376587,3,0
485,5.9693632813,00ATFY0016,00ATFY0016,Bedfont,Hounslow,False,15,14,14,126,21.10777885,3,12,11,11,-0.434834795391272,51.45881156686868,15.0,2.5128308151373426,3,2
486,4.9641246094,00ATFY0003,00ATFY0003,Bedfont,Hounslow,False,11,11,10,129,25.98645484,4,7,7,6,-0.42496083366625576,51.45523979602251,18.0,3.6260169549159667,4,0
487,28.9844375,00ATFY0014,00ATFY0014,Bedfont,Hounslow,False,13,15,15,120,4.140152798,1,12,14,14,-0.432776391274098,51.45734081113936,102.0,3.519129877887056,4,2
488,4.480684375,00ATFY0001,00ATFY0001,Bedfont,Hounslow,False,8,8,8,113,25.21936172,4,4,4,4,-0.4241470030691608,51.456218911645344,6.0,1.3390811531999507,2,0
489,2.1885626953,00ATFY0018,00ATFY0018,Bedfont,Hounslow,False,9,9,9,114,52.0889807,7,2,2,2,-0.42007960107700976,51.45625409697012,6.0,2.741525300090863,3,0
490,4.5490621094,00ATFY0017,00ATFY0017,Bedfont,Hounslow,False,7,7,7,125,27.47819155,4,3,3,3,-0.4327829384034749,51.45992348039873,29.0,6.3749404388380535,5,0
491,3.5304347656,00ATGE0032,00ATGE0032,Feltham West,Hounslow,False,10,10,10,126,35.68965534,5,5,5,5,-0.4202100768326811,51.44142395158949,14.0,3.9655172604841176,4,0
492,5.0887738281,00ATGE0029,00ATGE0029,Feltham West,Hounslow,False,9,9,15,126,24.76038516,3,6,6,12,-0.42092376078047467,51.44325990500082,42.0,8.253461721579711,6,0
493,3.8051734375,00ATGE0026,00ATGE0026,Feltham West,Hounslow,False,10,10,16,112,29.43361238,4,6,6,12,-0.41799119887875674,51.443217671349935,30.0,7.8840033162088945,6,0
494,21.586246875,00ATGG0029,00ATGG0029,Hanworth Park,Hounslow,False,16,16,16,124,5.744398307000001,1,15,15,15,-0.41403763289206047,51.44045666725351,78.0,3.6134118381799523,4,1
495,1.6735667969,00ATGE0030,00ATGE0030,Feltham West,Hounslow,False,23,23,25,111,66.32540763,9,14,14,16,-0.41527409294031226,51.441856406419134,2.0,1.1950523897251442,2,2
496,31.33371875,00ATGG0032,00ATGG0032,Hanworth Park,Hounslow,False,19,16,17,122,3.893569128,1,18,15,16,-0.40220546666450363,51.43671525319638,128.0,4.085056134615366,4,1
497,33.182534375,00ATGG0034,00ATGG0034,Hanworth Park,Hounslow,False,12,11,11,134,4.038269003,1,11,10,10,-0.39134399345948523,51.44028864276252,215.0,6.479312205941171,5,2
498,5.9131425781,00ATGF0019,00ATGF0019,Hanworth,Hounslow,False,21,21,21,109,18.43351459,2,19,18,18,-0.38850404726734206,51.44056437064822,36.0,6.088133259855786,5,1
499,3.2012283203,00ATGE0023,00ATGE0023,Feltham West,Hounslow,False,12,12,12,117,36.54847087,6,6,6,6,-0.41680309062248044,51.443370688212056,26.0,8.121882414673701,6,0
500,6.45313125,00ATGE0024,00ATGE0024,Feltham West,Hounslow,False,21,21,20,125,19.37044129,3,18,18,17,-0.4150077158121843,51.4422772427074,27.0,4.18401531814497,4,1
501,26.566296875,00ATGG0026,00ATGG0026,Hanworth Park,Hounslow,False,15,16,16,131,4.931059854,1,14,15,15,-0.39800452571680134,51.4449344657668,305.0,11.480711874714379,8,1
502,5.2926320313,00ATGG0001,00ATGG0001,Hanworth Park,Hounslow,False,13,12,11,128,24.18456436,3,10,9,8,-0.3887627680606609,51.44302553411929,45.0,8.502385908159743,7,3
503,4.3925191406,00ATGE0017,00ATGE0017,Feltham West,Hounslow,False,13,13,13,102,23.22129893,3,10,10,10,-0.4192765384524017,51.446666473997944,6.0,1.3659587603254983,2,2
504,6.3167980469,00ATGD0031,00ATGD0031,Feltham North,Hounslow,False,13,19,18,140,22.16312742,3,10,16,15,-0.42380878342613476,51.45400316130232,68.0,10.764947604011393,7,3
505,7.6443039063,00ATGE0002,00ATGE0002,Feltham West,Hounslow,False,19,18,17,221,28.91041522,4,15,14,13,-0.4198549812562848,51.44779381361466,16.0,2.093061735394077,2,1
506,5.6874714844,00ATGD0012,00ATGD0012,Feltham North,Hounslow,False,11,11,10,117,20.57153171,3,8,8,7,-0.4193869115861447,51.452763843534576,32.0,5.626401835643813,5,2
507,5.1137683594,00ATGE0021,00ATGE0021,Feltham West,Hounslow,False,7,13,13,112,21.90165689,3,4,10,10,-0.4191103078003214,51.44518769571183,29.0,5.670964729306311,5,0
508,7.359975,00ATGD0004,00ATGD0004,Feltham North,Hounslow,False,6,13,14,128,17.39136342,2,4,11,12,-0.4172682979856995,51.45438804721629,57.0,7.744591523748382,6,0
509,9.0236210938,00ATGD0010,00ATGD0010,Feltham North,Hounslow,False,11,13,14,127,14.07417252,2,9,11,12,-0.4189482385135739,51.45150530161141,52.0,5.762653313948261,5,2
510,4.2299488281,00ATGE0010,00ATGE0010,Feltham West,Hounslow,False,12,12,12,128,30.26041335,5,7,7,7,-0.41833331991587874,51.4491005592257,75.0,17.730710948975794,9,3
511,3.9290789063,00ATGD0026,00ATGD0026,Feltham North,Hounslow,False,19,18,17,118,30.03248416,4,15,14,13,-0.41855539056030183,51.455918818070764,28.0,7.1263521725420125,6,1
512,5.0150636719,00ATGE0003,00ATGE0003,Feltham West,Hounslow,False,27,27,26,148,29.51109092,4,20,20,20,-0.41295421506855085,51.446100870726646,2.0,0.3987985259701165,1,1
